0.0, 0.812108
0.025, 0.839488
0.05, 0.853108
0.075, 0.864072
0.1, 0.872492
0.125, 0.879818
0.15, 0.886722
0.175, 0.892586
0.2, 0.897438
0.225, 0.902164
0.25, 0.90606
0.275, 0.910082
0.3, 0.913544
0.325, 0.917278
0.35, 0.92029
0.375, 0.922778
0.4, 0.925546
0.425, 0.928114
0.45, 0.93035
0.475, 0.932658
0.5, 0.93471
0.525, 0.936868
0.55, 0.93837
0.575, 0.940386
0.6, 0.941688
0.625, 0.943318
0.65, 0.944552
0.675, 0.94586
0.7, 0.94692
0.725, 0.948326
0.75, 0.948886
0.775, 0.94933
0.8, 0.94911
0.825, 0.948442
0.85, 0.94786
0.875, 0.94656
0.9, 0.941282
0.925, 0.92764
0.95, 0.89758
0.975, 0.858702
1.0, 0.848064
